conCallAns,execAnswer,execName,,AnsNo ,Avoidance,Repetition,Unprepared
_may29abi_Q4_16_37,"The other thing is that in the last three years we've increased our base of sales and marketing big time, double digits way ahead of topline, and of course, from time to time it's a good time to swipe the assets, we always do it, but when we have an event like this where the company gets much bigger you'd tend to have a hard look at where assets and resources are being allocated. But again don't forget that in SG&A 60% of the synergies will show up in that line.",Carlos Brito,,81,,,
y31_HEINY_Q4_14_23,"The oil prices and what foreign effect that will have on the market, that seems to be -- that remains to be seen. And again I'm saying that by having a market share like we have in Nigeria, and the brand portfolio, possibilities of further productivity improvements, and the fact that still Nigeria is low in the consumption per capita in beer, makes the medium and long term we remain just bullish on Nigeria.",Jean-Francois van Boxmeer,,82,,,
31_Pernod_Q2_17_2,"And I think in also discussion that takes place it's an important argument that we obviously are using. As you also know even if some trade agreements could potentially be adapted by the U.S. Russia's WTO rules that apply which are quite positive, I would say around for spirits as there are many tariff rules for spirits in the WTO rules.",Gilles Bogaert,,83,,,
ay29const_Q4_16_18,"So first of all I'll say that Miramar has capacity for about 10 million to 12 million cases. And then beyond that I think we've said in the past that, and Ballast Point has said this, Jim Buechler and his team have discussed looking for a location for an east coast brewery at some point in the future.",David Klein,,84,,,
_Pernod_Q1_1516_57,"In the US, I think again it depends on the Nielson period you look at. If you look at the last 52 weeks, which is the mobile year, then the gross is a bit higher than -- it's 4.4%. So if you consider that the Nielson figures are 1% or 2% above the market, I think it gives an underlying performance which is in the bracket of mid -- of low-to-mid-single-digit top-line growth, as I indicated earlier.",Gilles Bogaert,,85,,,
may29_DEO_q4_16_1,"Hi, Sanjeet. Sure. The distributor agreements are basically focused on strengthening our sales executional capabilities. So things like, we run the activation armies in the top 40 cities, how we support behind the activation army. Things like more focus on multicultural and a non-premise; more focus on reserve brands.",Ivan Menezes,,86,,,
y31_HEINY_Q4_14_32,"The second question was related to our marketing spend. That is not only geared towards innovations; the total marketing and sales support spend, where we say we will slightly increase it. Because we have seen over the last few years that fueling marketing campaigns, sponsorships, innovations, a bit of commercial assertiveness as we call it, it is bringing us to gain market share.",Jean-Francois van Boxmeer,,87,,,
ay29const_Q2_17_7,"Yeah. I don't think that that's really a relevant sort of measure. It's not competing in high-end spirits per se, right? It's really a brand by brand kind of thing. We're going to compete and out-compete the competition with the brands that we have. The whole point of sort of our selection process as we make these sort of smaller tuck-in acquisitions is to buy brands that stand on their own and have the momentum to be of a scale to contribute materially to Constellation's growth and margins. And I am quite confident that High West will be one of those brands as are the other brands in our spirits portfolio. So just like we bought SVEDKA years ago and have grown that to be the second largest vodka in the entire United States and the number one import brand and fundamentally changed the vodka category with that brand, I think that our other spirits additions have a lot of great potential similar to that. So, I guess we don't really think about the - how do we compete effectively in a whole category. We think about what's the quality of the brands that we're buying and how can they contribute to Constellation's continued stellar growth in the top line and the bottom line.",Robert Sands,,88,,,
y31_HEINY_Q4_14_11,"So I am conscious that the outlook on Russia is not bright, but the strategy of continuing focusing on the premium end and the flexibility and resilience that our business unit over there is showing, makes me stay confident in -- for Russia.",Jean-Francois van Boxmeer,,89,,,
ay29const_Q4_16_24,"And we wouldn't use pricing to slow down the business and potentially damage the health of the brands. I can tell you that right now. We have, we believe the capacity necessary to meet the demand in the marketplace. But pricing is an important element of our growth strategy too. So we're going to continue to take the very balanced approach that we've been taking in the past.",Rob Sands,,90,,,
may31_TAP_Q2_16_7,"And then on the third investment, we pushed investment behind our share of voice. We were under indexing. And together with really effective advertising copy, we've seen that now continue to grow our brand scores. So, growing brand scores is a great tell-tale sign that you're spending money in the right place. So, that's how I'd describe the brand expense for Q2.",Stewart Glendinning,,91,,,
ay29const_Q4_17_8,"So, despite the volatility that we're seeing, we're pretty confident in our ability to deliver these numbers.",Rob Sands,,92,,,
_BrownF.B_Q3_17_20,"But we also have talked about this in prior calls, that our costs have gone up somewhat, too. And we talked about the front end with the barrels of those costs, the cost of wood, if you will to make our barrels has gone up. And so that what are the two pieces when I look at the increase once you strip out the BenRiach and the Slane impact. So the volumetric impacts in this is about half of what it is.",Jane Morreau,,93,,,
_BrownF.B_Q4_16_15,"We've been encouraged, I'll tell you from what we've seen not only in the United States, I just feel like we had a great first year there against a pretty tough competitive environment and what we've seen with the competition is not the same in these international market as it is in the United States that Jack Daniel's Tennessee Fire is doing very well and sufficiently enough that we would either expand it within those countries or introduce it in to new countries. ",Paul Varga,,94,,,
may31_TAP_Q1_16_38,"Yeah. Sure. Bryan, as you point out, we closed the deal this quarter. In terms of the timeline, we have up to five years. So, we've got plenty of time to find and build a new brewery. And, of course, that process is actively underway already.",Mark R. Hunter,,95,,,
may31_TAP_Q3_16_31,"I just like to thank everybody for their continued interest at Molson Coors. We've opened a new chapter in the history of our business and as a leadership team, we are delighted to be leading the business forward from this position. And we look forward to updating you as we make our business bigger and stronger in the coming quarters ahead. So thank you for your continued interest in our business. Thanks, everybody.",Mark Hunter,,96,,,
y31_HEINY_Q4_14_9,"And so your question was about our strategy. We are not the market leader in Russia, unlike Nigeria. We -- our portfolio is more geared towards, and we will gear our portfolio more and more towards the higher end of the market, with premium brands, not only Heineken, which despite that the market went down, our Heineken brand went up in Russia, as well as other brands, like Krusovice, other premium brands that we bring to the market and will continue to bring to the market.",Jean-Francois van Boxmeer,,97,,,
_BrownF.B_Q3_17_32,"I mean, I think generally we would anticipate these foreign, you know, significant changes in your route to consumer or something that, you know, might have an impact, we generally see the inventories grow in line with your sales expectations. That's generally what it is. Is there something, Jane, in the...",Paul Varga,,98,,,
_may31_TSRYY_17_46,"There are some operators that have been buying that product with the intention of shipping it to, let's say the continent and then it doesn't leave the U.K and its got back into the U.K. or its stays in the U.K. There has been a clamp down, rightly so by HMRC in the U.K. to stop that sort of that behavior. We have issued a Director to our team that you will stop on the bond sales with immediate effect. I would rather take the pain now and come clean and we will pick up those sales in the future with the correct retailer or distributor buying that product from us with duty paid and that will take place over the - let's say next nine month period.",Michael Clarke,,99,,,
ay29const_Q3_16_20,"Yes, Mark we try not to factor in weather all that much, but clearly a warmer fourth quarter was beneficial I think for our beer business. I would also say that we continued some of the activity that we had been working throughout the first two quarters related to marketing spend along with the NFL and within other venues to continue to drive the brands, but I don't think it's anything outside of those items.",Rob Sands,,100,,,
may31_TAP_Q2_16_38,"Off the top of my head, in Canada, we were down kind of low- to mid-single digits. And then internationally, if you look at our MCI business, we were up double-digit growth. And in the UK and Ireland, we were up double-digits, in fact, kind of high-20%s, low-30% growth. So, Canada, down low- to mid-single; everywhere else outside of Canada, double-digit growth.",Mark Hunter,,101,,,
may29_DEO_q2_15_8,"As you know, our West LAC business, we have been through in the export channels a destocking phase, so I'm confident our business is in good shape in Latin America, we will grow share. And some of those economies, as you know, are still -- growth has been subdued and we won't be immune from that, but I fully expect us to do better and to have decent growth in LAC going into fiscal '16.",Ivan Menezes,,102,,,
ay29const_Q1_16_7,"And once we put them in service, meaning, we have run beer down the line or beer through the brew house for commercial sale, we then put those assets into service, which means we begin depreciation.",David Klein,,103,,,
y31_HEINY_Q4_14_76,"I would say that if you look at the world of Heineken, we would be over-indexing premium practically everywhere where we operate, except Central and Eastern Europe. This is the only region in the -- I would say the post-Soviet area, because this is not technically Greece and Austria are in Central Europe. And there we also index -- over index -- above index 100 in the market, if you will.",Jean-Francois van Boxmeer,,104,,,
ay29const_Q2_17_24,"I would just point out just a couple of interesting statistics which we track which is, if you look at IRI and year-to-date pricing for the top 20, we call premium SKUs, the percent change - now this is excluding Constellation, the top - the percent change versus a year ago is about 1.3%, okay? And then if you looked at year-to-date pricing for our top ten SKUs in the premium category, meaning Woodbridge and above, we're at plus 3.5%. So I think that the sort of journey that David was talking about is reflecting itself and working relatively well at the current time.",Robert Sands,,105,,,
_may31_TSRYY_17_8,"Mike saying there if you look at the winery consolidation program we have, you recognize the cash savings first as you consolidate those facilities and then of course the wine matures. And as that wine get sold in the coming years, then that savings that we have today is recognized in our P&L overtime. ",Robert Foye,,106,,,
may29_DEO_q2_15_2,"On the top line, Olivier, I would say for the full year, we do expect to grow in line with the industry. As you will have seen in our presentation, the H1/H2 cycle is different. We've changed our innovation replenishment model. We've been in the process of doing that for several quarters, and that'll continue into the first half. Underlying depletions, as you know, we ended the year strong. The second half was stronger than the first half. I expect that momentum to continue into fiscal '16. So, underlying depletions will be steady and strong H1 and H2. Reported shipments in NSV, H1 will be weaker, and then it will bounce back in H2.",Ivan Menezes,,107,,,
ay29const_Q4_17_68,"So, I think you're going to see some balancing there meaning you'll see some tightknit in some areas and you'll see some of the opposite in other areas and obviously also in the Pacific Northwest that's also important to us now as well as the brand like Charles West and Charles Smith, which is growing really high double-digits.",Rob Sands,,108,,,
31_Pernod_Q4_14_4,"While you may -- what you may have as we have every year is from one quarter to another one, you always have some discrepancies between shipments and depletion trends, obviously, because of the seasonality. But in terms of inventories I think yes, we can say that we have overall some healthy inventories in the world.",Gilles Bogaert,,109,,,
may31_TAP_Q2_16_5,"Yes. Thank you, Bryan. Look, I mean, in terms of our financing, first of all, obviously, as you heard me say before, we had a fantastic result in our long-term debt offering. The interest cost that we were able to get on the financing was about $200 million lower than what we had assumed in the pro forma financials that we had submitted a couple of months ago. So, that clearly will have a very beneficial impact going forward.",Mauricio Restrepo,,110,,,
_BrownF.B_Q4_16_43,"And it's a story that should fit beautifully with why people are choosing American whiskies today, and drinking whiskey generally. So it's just a great opportunity for the press to get out and tell that. ",Paul Varga,,111,,,
31_Pernod_Q1_16_20,"And for the U.S., yes, definitely it's an important market for Martell. The cognac category is booming in the U.S. and Martell is one of the three leading global brands. But we have a low market share today in the U.S. So we've been working in the last, I'd say, two years to accelerate our growth there, putting more resources clearly behind the brand, adjusting our marketing policy, working also on the portfolio. And we'll come with some innovation soon. I cannot tell you more. And we have a strong growth on Martell in the U.S. But our objective is not just to have a strong growth; it's clearly to gain share. And that's something we're working on.",Gilles Bogaert,,112,,,
y31_HEINY_Q4_16_42,"And specifically on your two questions yes for sure DRC and Egypt are two difficult markets. Now DRC improved quite a bit in the second half. It was still negative, but it was just to give you an idea. It was 6% in first half and 3% in the second half whatever the significant I don't know. Management is working hard to try to turn around this company. It's essentially a macroeconomic and political problem in the DRC, it is not a problem which is due to anything that is going the wrong side on our -- specific how we run the company. But it's a terrible country at the moment. It's been a terrible country for the number of years.",Jean-Francois van Boxmeer,,113,,,
may31_TAP_Q4_16_5,"Laurent, I think your question just talked about how we're driving our and as our per hack right across our business the focus in all geographies is really about how we premium eyes our portfolio and if you look at our results across Canada, Europe and more broadly our international business we're only playing in the above premium segment is a return orientate the Business thought the same time recognizing economic engine is still our mainstream brand it's the power we've got to keep our big mainstream brands performing well and we talk share improvements particularly our biggest market, the us what the same time premium is in our portfolio and that is what we're about and that is what we will continue to focus on. ",Mark Hunter,,114,,,
ay29const_Q3_16_21,"Yes, I think that there is opportunity okay for Ballast Point to become a big brand and when we say big okay, I think that that maybe a relative kind of a number. We're not talking volumetrically Bud Light big okay.",Rob Sands,,115,,,
_BrownF.B_Q3_16_18,"And then the third is a little more subtle, is that the proceeds from Southern Comfort, which we had a nice gain on the sale, to the extent that you attribute that we would be going and using some of those proceeds to do some of the share repurchasing that is available to us. In effect, the way I like to think about that is, for a non-selling shareholder, a shareholder does not sell into a share repurchase and remain, what ends up happening, in effect, for them is that they, through Brown-Forman's activities, have sold Southern Comfort and made a reinvestment in Jack Daniel's for them.",Paul Varga,,116,,,
_BrownF.B_Q3_17_6,"I thought I might just touch on one other of our new things to our portfolio this year, which is the BenRiach, or the single malt scotch, which is our Glendronach, Glenglassaugh and BenRiach itself. And we, in the third quarter, actually launched them in the United States. Our own field employees at sales force are very excited about it, as is the trade. So we're excited to have those products in the U.S. and under our control now.",Jane Morreau,,117,,,
_may29abi_Q2_16_44,"Thank you so much. With that, I'd like to thank you all. During the second quarter, we saw continued strong growth in Mexico, we saw encouraging trends in the U.S. with particularly market share and a good contribution from Budweiser in China, despite the very weak industry performance. Numbers in Brazil were disappointing, but we will continue to work hard and remain focused on what we can impact and influence. ",Carlos Brito,,118,,,
31_Pernod_Q2_17_4,"Well we don't give the guidance yet for the following year. What I can say is that's within the EUR80 million for the Forex for the full 2017 year, EUR25 million are coming from the sterling pounds. It's not the full impact we expect from the weakest in pound, because part of it was hedged till Q1 of the next fiscal year. So on that part we could expect have a positive impact still coming in the following year. Then on the other currencies I think it's far too early to predict anything for fiscal 2018.",Gilles Bogaert,,119,,,
_may29abi_Q2_16_21,"Thank you. Then again Europe is growing top line of 4.6% for the half year, so that's very, very good.",Carlos Brito,,120,,,
ay29const_Q2_16_1,"So, we don't typically provide the long-term guidance. We provided the medium-term guidance if you will, so we can give people a sense of our Beer business. I would say that we still intend to have beer margins that are in line with the industry leaders in North America. In fact, we would likely be the benchmark if we achieve our mid-30s guidance in the mid-term.",David Klein,,121,,,
ay29const_Q4_17_16,"Right in aggregate and if you look at our beer business and our beer business guidance has this double digits, it implies everything else stays the same, we'll be getting that kind of growth in our marketing spend.",David Klein,,122,,,
_BrownF.B_Q2_16_19,"I actually--but we are competitive. I will tell you that we want--for example, at the price point above Jack Daniel's in the U.S. American whiskey market, we want to be a leader. We want to have our fair share of it. That doesn't mean we do anything at any cost to be the number one volumetric player at the ultra-premium level, but I will tell you that we really feel like that's an area that we know well. We have the assets, the production assets and the know-how to be part of that, and the same thing is true of flavored whiskey. It'd be rare for you to hear us say something like we need to be number one in flavored whiskey in the United States. I'm just not compelled by that, and I don't think our company is.",Paul Varga,,123,,,
y31_HEINY_Q4_14_37,"You have one, two, three players, which are competing heavily with each other in a declining market, and also a change of commercial environment, whereby all the traditional individual, single mom-and-pop shops were replaced by chains of small retailers, like Biedronka, Eurocash cash and carries became bigger.",Jean-Francois van Boxmeer,,124,,,
may31_TAP_Q2_16_13,"Okay. Thanks, Vivien. I'm going to be hopeful here and suggest that Simon might be on the call. Simon, are you with us?",Mark Hunter,,125,,,
may29_DEO_q2_15_3,"On the margin front, we're going to manage it carefully. You know the margins are high in the U.S. and this is one of our most profitable businesses. We will be looking at -- and we alluded to this, also driving volume performance in the U.S. A lot of our share erosion historically has been at the low end of the portfolio and we intend to get more competitive there, so that we get volume momentum back in the business. But on an ongoing basis, steady state, we do see the US, even from its high base, it's got all the characteristics of -- to drive margin expansion, modest, on an ongoing basis, but I want to retain the flexibility to invest behind the U.S., to really shore up the top-line momentum in a sustainable basis.",Ivan Menezes,,126,,,
31_Pernod_Q1_16_24,"In the U.S. Absolut is clearly improving its performance. In volumes terms last year we were down 5%, this year we're not far from stability, so that's I would say a very significant improvement. The minus 2% are in value, so you have a value evolution which is slightly more negative than the volume evolution because of our decision to slightly adjust the net price of Absolut in the U.S. on a state-by-state, SKU-by-SKU basis. And the good thing is that we believe that today we have a far more efficient commercial and pricing policy than what we had in the past. That's obviously not the only reason for that improvement, we have worked a lot on stronger activation on the field in Absolut and leveraging the addition resources we got from our wholesalers.",Gilles Bogaert,,127,,,
_BrownF.B_Q2_16_2,"So when I think about what's been happening in the last six months or so in the United States, going back a few years, many of the really global competitors had more, what I'd say balanced geographic earnings profiles than some of them have enjoyed here more recently. If you think back four or five years ago, a lot of people were dependent upon the emerging markets for growth, whereas their developed international markets may not have been growing as robustly. In the U.S., they could expect maybe industry competitive levels of the growth, but the emerging markets were really helping drive them. ",Paul Varga,,128,,,
_Pernod_Q1_1516_2,"Thank you very much, Gilles. Thank you, ladies and gentlemen. I remain available, as does Alison, if you have any follow-up questions. Thank you for your time.",Julia Massies,,129,,,
may31_TAP_Q1_16_66,"FMBs have been a big part of our business for the last couple of decades back in the UK. We, in the mid-1990s, launched a brand called Hooch, which was you know one of the forerunners of the FMB category and it's been you know part of our business as a safer you know a couple of decades now. So, we are very careful, very responsible, very clear about the fact that these are adult drinks, they're clearly marked as adult drinks and will continue to comply with all regulations in all of our markets to build our portfolio responsibly. I think beyond that, it's probably not worth getting into any specifics. So, that's just our general philosophy in our business.",Mark R. Hunter,,130,,,
may31_TAP_Q2_16_6,"So, Judy, we'll get him back in, and then I'll fill him back on to answer your specific question. If you can just bear with us. Apologies for that. We seem to have a couple of technical hitches this morning.",Mark Hunter,,131,,,
ay29const_Q3_17_27,"Hence as David has pointed out, we have been thinking well in advance of strategically all of the things that we can do and will do if necessary to mitigate the impacts of this. So I think we are totally ahead of the game, which is good because I think as our comfort level now is indicative of that fact, which is that we have been so far ahead of the game that we sort of know what we are going to do and we are not sort of relying upon or hopefully this won't happen or what the probabilities are because that's like nobody can predict any of that stuff. So all we can do is around and determine what our action items will be if something occurs and how we are going to do it. So as I said, we are pretty far advanced in that thinking.",Rob Sands,,132,,,
y31_HEINY_Q4_16_9,"On the price mix. I will not give you any guidance on how the topline revenue and when that start the day. What I can say is that we have a strategy for building topline, we have several building blocks. And we try to have a better revenue per hectoliter, essentially by overinvesting in the higher end of our portfolio. Takes many phases. It's in the first phase and it will continue to be the Heineken brand. I mean, I will repeat it but if it were a business segment, it would be a certifier company.",Jean-Francois van Boxmeer,,133,,,
_may31_TSRYY_17_79,The other thing that's also happened is don't forget you've got some of the wine that we acquired in Diageo that's been reallocated to some of our Treasury Wine portfolio and that's already being sold in the United States. So we've been out to get enhanced margins on that as opposed to the grower contracts that we ordinarily would have sourced that wine from the third-party. So that's internally helping our margins also.,Michael Clarke,,134,,,
_the_Pres_09_16_92,"I think the on-trades numbers are really strong. Whether it stays up at that 6%, 7%, I don't know, but it's going to be in positive territory for the next couple of years.",John Kennedy,,135,,,
may29_DEO_q2_15_5,"On North America, for the full year, we've said that we expect shipments and depletions to be in line. So that is our expectation for the full year.",Ivan Menezes,,136,,,
_Pernod_Q1_1516_34,"And I think that on China, in the last few months we've been saying that the position was still soft. And I think it's fair to say there that the stabilization that maybe we were hoping to take place in China after the last Chinese New Year, eight, let's say seven or eight months ago, will probably take place a bit later than in the initial scenario. But that's already something that we had clearly anticipated when we talked to you in June or when we had our full-year communication.",Gilles Bogaert,,137,,,
_BrownF.B_Q3_16_29,"If I felt that changing the mix of investment for some reason would have a beneficial short, mid or even long-term benefit, you would expect us to do it, of course. I mean, we will sit and really nail down the specifics of this in the next few weeks here. But I will tell you how I'm thinking about it, because this is one of the wonderful things for all of you who get to, when you ask these questions, honestly, we have to make decisions about what to make, which literally drives some of our views.",Paul Varga,,138,,,
_Pernod_Q1_1516_53,"Well, many, many questions. I will try to remember your questions. Well, on China, I think that, yes, we said that number of days of inventory at tier-one and tier-two wholesaler level last year was up six days at the end of the June as opposed to one year before. And here when we look at the inventory as of end of December, it is, I would say, four days lower than what it was at the same period of last year. So there was --",Gilles Bogaert,,139,,,
_BrownF.B_Q2_16_13,"Which we don't--you know, we're very comfortable at the levels that we're at right now. As you all would know from following us, we have a pretty conservative posture about that historically. Some of it is just what opportunities come along, it's not that we're not willing.",Paul Varga,,140,,,
_may31_TSRYY_17_59,"In America it's a case of continuing to grow our business and we're now moving into the growth phase because we have now done the fixing, so it's now growth phase but there is always potentially the opportunity of another acquisition that could help drive additional scale not going to talk about M&A in detail but obviously that's an option for us in the future too.",Michael Clarke,,141,,,
_BrownF.B_Q3_17_39,"Yes. I've been reasonably pleased with the - I'll call it multi-quarter, or even multi-year, Jack Daniel's Black Label share performance in the United States. I mean, we've been getting a little less pricing these last couple of years. I think it would be unrealistic to expect that Jack Daniel's would today grow at the rate of premium whiskey, premium bourbon, just because it's so big. I don't have that expectation. We have all oftentimes tracked ourselves against total distilled spirits, which Jack Daniel's has held up pretty good at various times.",Paul Varga,,142,,,
y31_HEINY_Q4_16_38,"Can you repeat, we were catched in an internal debate on mute whether we had published something about Miller or not. Sorry about that. If you can repeat it.",Jean-Francois van Boxmeer,,143,,,
31_Pernod_Q4_14_17,"On Absolut base there is a key focus. It's all about the Transform Today campaign, which we are developing across the US. Now, in terms of point-of-sale material, going back to that excellence-in-execution terminology we used earlier, focusing on the last three feet and point-of-sale material in stores, and in the on-trade on Absolut base.",Alexandre Ricard,,144,,,
_Pernod_Q1_1516_10,"Then we have a few other factors. For instance, on Jameson we have just launched Jameson Caskmates, which is, we believe, a very encouraging innovation on Jameson, with a good welcome from the trade. But, as always when you launch an innovation, you can have some initial shipment pipeline effects. So this is the kind of effect that we had in the first quarter in the US.",Gilles Bogaert,,145,,,
_may31_TSRYY_17_107,So generally our inventory peaks at the end of June and you have a lower peak at the end of December and December obviously is after the American vintage release but you will see that we are accumulating on our balance sheet more inventory at the moment which is therefore higher margin products that we can sell in the future.,Michael Clarke,,146,,,
_BrownF.B_Q4_16_4,"So like in Eastern Europe has slowed down in some markets, some of the smaller markets, particularly those related to oil. Just their economies and their currencies have been so difficult and so this round of emerging market difficulty because there's always at least seems to me that there's some markets going up and down and that's why we like the geographic diversification we have this particular year with emphasis on Russia and then some of the smaller markets, other markets particularly tied to oil seem to hit us even more than they had in the past years. ",Paul Varga,,147,,,
ay29const_Q2_16_6,"So as a result of that we're seeing better profit performance from the joint venture and that allows us to shift our mix just a little bit and I don't have the exact numbers Judy, but to shift our mix a little bit toward our own glass plant as opposed to third-party providers, which gives us near-term in particular freight benefits as it relates to the glass plant.",David Klein,,148,,,
ay29const_Q1_16_14,"For innovation, yeah, and it's not Chicago per se, I mean, it's really San Francisco and Chicago where -- it's both places where beer, Wine and Spirits innovation people are located and then the commercial side of the businesses as I said we're -- we continue to increase our spends in advertising and marketing because we think that it's critical to continue to drive the kind of success that we've had.",Rob Sands,,149,,,
ay29const_Q3_16_0,"Yeah I'd say from a growth rate perspective Judy, we're still focused on the high-single digit kind of growth rate that we're seeing in the high end beer business as being applicable to our business, right.",David Klein,,150,,,
may29_DEO_q2_15_9,"Sure, why don't I start with Crown Royal, and I'll turn to Deirdre on FX and the USL margin question. Crown Royal Regal Apple, as you know, well we've shipped over 1 million cases. The depletions have been nearly 900,000 cases. It's been an extraordinary year 1, way exceeding our expectations. The consumer data actually is very encouraging because the consumption is cutting across gender, age and ethnicity and geography. So it's very broad-based, and it's clearly drawing new consumers into the Crown Royal franchise.",Ivan Menezes,,151,,,
ay29const_Q3_17_14,"Sure. It's possible that Mexican beer could be exempt because it's an inherently Mexican product and it's not the kind of thing that perhaps is being targeted, i.e., the movement of production from the U.S. to Mexico. In fact, in our particular case it's the complete opposite in which you have a U.S. company that bought an inherently Mexican company and actually resulted in the creation of jobs in the U.S. as opposed to the opposite. So of course we are making that point with our legislators and I would say they fully understand and comprehend that point. So yes, there could be a carve-out.",Rob Sands,,152,,,
ay29const_Q2_17_10,"And in terms of depreciation and amortization, in my comments earlier, I said that we would be at $125 million of depreciation and amortization for the beer business. That will, just by definition, that growth from about $65 million last year to $125 million this year, that will be somewhat back-end loaded, just given the fact that we're behind a little bit on a year-to-date basis.",David Klein,,153,,,
_BrownF.B_Q2_16_4,"Okay, yes. We don't target a share repo. I'll remind you that we have a $1.25 billion authorized share repurchase that was effective last March 24, I believe, and we've repurchased about $1 billion against that, so we've got $250 million or so left on that initial approval, if you will. But the way we approach share repurchases is opportunistically, so we're looking into it as an investment, so you saw us buy a significant amount in our second quarter where we felt like the market wasn't understanding and realizing some of the underlying growth that we see in our business and how we see it going forward, and it was being masked somewhat by foreign exchange. But we don't have a target for that for the year, if you will, so it's more opportunistic. Several factors go into play when we do it, both the price of the stock, what the needs of our business are, so funding our own business, a whole host of things that go into that. But we do have about 250 left on it.",Jane Morreau,,154,,,
ay29const_Q1_16_33,"IRI dollars for our Beer business in the four week period ending 06/21, up 14% for Constellation's Beer business in dollars, so we see no negative impact or unusual occurrence relative to May on our business.",Rob Sands,,155,,,
_BrownF.B_Q3_17_0,"We missed the very first part of your question. So if for some reason you had asked something that we didn't pick up, just repeat it again. But I thought the first question was around have we observed anything in the U.S. marketplace related to using currency to the scotch producers' advantage. And I haven't seen anything in terms of reduced prices. I mean, I know the category for specifically the higher end expressions, the single malts, et cetera, continues to be pretty good in the U.S., but I haven't noticed that at the consumer level. I mean, it would make sense that, because the products aren't perishable, that if the U.S. wholesalers were to stock more of those inventories, you could envision that occurring, but we wouldn't have any visibility into that.",Paul Varga,,156,,,
y31_HEINY_Q4_14_30,"Now in the majority of our countries we try to go with innovation in the premium-end of the market, i.e. also accretive on the margins. In a number of markets limited innovations can be the opposite around, like Nigeria or like, let's say, Ethiopia. When you launch a mainstream product, then it will be, if you will -- that innovation will be clearly but also willingly dilutive to your margin because of the total volume. In percentage you will -- but on your total volume you returns will increase.",Jean-Francois van Boxmeer,,157,,,
y31_HEINY_Q4_14_7," The interesting thing is that you see that the lower-alcohol products take very much soft-drink occasions. And so where -- and normally people would go for water, juice or a soft drink, now the Radlers really alcohol-free beers is a realistic alternative. And even an alternative -- a more adult-focused alternative, and so we are expanding the market with that and there is limited cannibalization.",Rene Hooft Graafland,,158,,,
y31_HEINY_Q4_14_73,"No, I don't think. We came -- Asia Pacific came from a region which has been dominated by the Heineken brand, so by the highest price point. As we go, and since we have been taking full control of APB, and we have been re-positioning the Tiger brand, we see the Tiger brand as a very valuable proposition of being above mainstream, but below Heineken.",Jean-Francois van Boxmeer,,159,,,
_may31_TSRYY_17_54,And two pairs of hands is better than just one pair of hands from a leadership point of view. And I feel good about what we're doing in America and I think there is even more momentum to come.,Michael Clarke,,160,,,
ay29const_Q4_16_48,"Hi. I just have a question on or a follow on question on beer pricing. Clearly your net beer pricing was strong in Q4, and I guess I was hoping you could drill down between how much was from rate versus brand mix versus channel mix?",Rob Sands,,161,,,
_the_Pres_09_16_107,"On innovation, I think with innovation, the thing with, you called it flavors. What we're finding is new products that bring to the fore the craft, the history, the lore of making these brands is really interesting to people. So we did it on Tanqueray with Malacca Strait and Bloomsbury. We're doing it now on Walker with Red Rye Finish.",John Kennedy,,162,,,
_BrownF.B_Q4_16_31,I think it would be consistent from here. I actually think the thing that will drive more promotion this year that will assist and it might help you with your answer in is the Jack Daniel's 150,Paul Varga,,163,,,
_BrownF.B_Q3_16_49,"So that's a big influence. But also - because we're so geographically spread, you do get little components from just about everywhere.",Paul Varga,,164,,,
may31_TAP_Q1_16_13,"The European business will have the additional benefit of, in particular, the MGD volumes in the U.K. and Ireland, but it'll be very much business as usual, and I think the opportunity is on that enhanced platform, how we can lift and shift some of our faster growing brands, so brands like the Sharp's portfolio or Franciscan Well, and really leverage them and more broadly internationally. So, very much business as usual. I think you've seen solid improvements and a competitive position in Europe, and we'll continue down that path going forward. Europe is a big part of our overall business and is an important part of our business.",Mark R. Hunter,,165,,,
ay29const_Q2_17_1,"So then on the wine and spirits SG&A number, it really is just incremental spend in investment areas within our wine and spirits business, like marketing, innovation and having the right talent on board for our wine business.",David Klein,,166,,,
may31_TAP_Q2_16_35,"In terms of supply agreements, the combination of transition service agreements that we have previously negotiated with ABI post-transition or exporting from our U.S. business. So, those are our supply agreements. We made good progress. I mean, there is still a lot of work, a lot of countries, a lot of new markets. But, I would say at this point of time, we are on track for our day one integration.",Mark Hunter,,167,,,
_BrownF.B_Q4_16_21,"What the market deals us? I mean we do hedging, but hedging is largely against another line item in our P&L more against ourselves. ",Jane Morreau,,168,,,
y31_HEINY_Q2_16_14,"No, it's the economy yes absolutely. I think that our competitor is in the same ship or boat as we're.",Jean-Francois van Boxmeer,,169,,,
_Pernod_Q1_1516_46,"And for the scotch portfolio, and in particular for Ballantine's, that posted growth in the first quarter. That's clearly good news. I think it's the first quarter of growth on Ballantine's for the last six years, so I think it's too early to say that we'll keep growing going forward. We probably need a couple of more quarters to have more visibility. But I think that we can say that clearly the scotch has stopped its sharp decline in Spain, which is obviously good news.",Gilles Bogaert,,170,,,
